sentiment,content
negative,@xoshayzers i knoww  things won't be the samee &lt;/3
neutral,ugh.. my dad just told me to read an article about Kavya Shivashankar the spellin bee girl..and be more like her.
negative,Going to sleep. Gonna fall asleep playing apps again. Tmrw is going to suck
neutral,@ThaBillCollecta  YEA     I GOTTA BE UP AT 7:30
negative,I hate when my bf beats da dogs. But I guess that the only way to teach these pitts.
negative,I can't believe the Metal Gear Solid song was stolen    I'm so disappointed  http://bit.ly/YKkSu
negative,think i may have broke a toe at the bar tonight......thanks drunk girl for steppin all over me!!!!!
neutral,"Not one sale done today at work. Explored balconies in the big theater w coworkers. A fun day, but void of chili fries and tips"
negative,@MacZombieRawr  I wish I had Left 4 Dead. But first I'd need something to play it on...
neutral,@sillybabyjulie me too
neutral,@digenis that story reminds of living in Portugal
neutral,"@jhicks  youre diabetic?   so is my dad.  &amp; i might be too, not sure.  are you still allowed to eat sugar throughout the day?"
negative,my roommate @tess_tickle loves to ignore me
neutral,@SuperFiasco  I'll make him nachos tomorrow. Better than if he would have made them himself.
neutral,@MyDailyRoutine yeahhh. &amp;dont judge my pillow
negative,my teeth and head hurts
negative,I HATE rob zombie movies. &amp; the smell of weed. Vommmm.
negative,"@jcwentz Maths and Science were the strongest for me i think..dunno bout geography, only did like 1 day of study for 1/2 a year of work!"
negative,no more arrested development. i am sad.
neutral,"@Giggles_xo  wicked , what time you leaving? how come you cant stay the night"
negative,omg i keep losing followers this is so sad  i want 90 one day....thats my goal ;D
negative,I feel so deflated. No more doggy.
negative,"I just had to empty my trash on the mac. that was one of THE MOST DIFFICULT things I have ever done in my life. 8,000 pictures are GONE."
negative,im contacting PAWS Philippines so i can find &quot;tiger&quot; a new owner. im so sad. i love my dog soo much
negative,just got home! not wanting to read the last chaper of breaking dawn cause i dont want it to be over
neutral,@the_babsi there's a manual process... but it's taking 4ever on my outlook database... pffff. crappy msft product
negative,Fuuudge. Movie store is closed
negative,ALO is so sad and quiet and empty tonight
negative,"@meganmansyn Hahahaha! It's not horrible, if others were singing with I'm sure it could work. I wish I could afford my own drum set"
negative,@Mona26 Aw where are you headed to? i just cancelled my trip to Aussie
neutral,OH NEVERMIND I THINK THIS THING IS UNSALVAGEABLE
neutral,"lyin in bed, up faaaaar too early"
negative,Sad that Christian Lacroix had to file bankruptcy
negative,I dont feel good AT ALL. fuckkk
neutral,When will Medhurst play again?
negative,aarrgghh - fu*k.....a hose has leaked water all over the new floating floor
negative,Have to go to the dreaded DMV tomorrow
neutral,@duncm I'm a bit Ben's Thai-ed out
neutral,@dmoneymania  I'm sorry. Excited for tomorrow night? Karaoke!! Getting anything special for bday?
neutral,in 7-11  w/o you
neutral,"@becjee Yeah, plus it's just a little too far to walk to Pinocchio's for sushi"
negative,Taylor Swift and Joe Jonas looked really good together. I'm kinda sad they broke up.
negative,God I just want to sleep.
negative,@ksutt11 ohhhh thunderstorms...boo  why do they always have to make the power go out??
negative,Found my book. Starting a real paper-bound journal tonight. Have an annoying zit above my lip. Makes me look like I have herpes
negative,"RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IN THE 80'S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK"
negative,@RealBlackWidow But but I dun wanna
negative,@imjustlalayone damn girl I'm so down but ya gotta let me know so I can get my kit together &amp; I got a flyer  Any next weekend? I&quot;M DOWN!
negative,"@JustinOdom dbl booooooo for being sick, flippin blows! ... bahaha i kno i dont have many friends on here either. i feel so lame  haha"
neutral,@brettyrocks thats what i was thinking but the only time it's gonna be on is 1 am!
neutral,"Peeps still here. Fun times. Gotta sleep tho. Work in the A.M. Some cool, hot chicks here. But none as cool as ____________. Missing her"
negative,feels sick to my stomach and idkk whyy
neutral,Counting the hours of lost sunshine until the Weekend
negative,"@hello_jodie Um, I was thrown from @JareWolf's van yesterday and had to be taken to the ER"
neutral,good morning work this morning gutted lol nevermind
negative,I have to work in the morning while my friends get to party it up.....stupid bberry lite flashing red and I have no messages!
negative,@judyrey  The link doesn't work
neutral,@Deedubau hahaha I don't know anyone or anything about it except they have powers lol... I live in my own bubble
neutral,"love is like a war,,easy to begin, hard to end..fiuuhh..."
negative,my stupid tooooth hurts
neutral,Ready To Go @ School
negative,@turnitgrey my computers broken and I broke my laptop so I had to use the phone  ahh still on he cause they fucked up my order.
neutral,@Richard_Gable It's good isn't it! Our holiday chalet is out of sight but look v similar to those ones. Going home again today
negative,@all_is_one84 Those suck so bad.
negative,I'm awake. Anybody else awake? Wish I lived in the US since all the fun happens when I'm asleep!
negative,At Charle's with the power out. LOL! Damn SaveMart lost power and we could not buy beer.
negative,@Penguin_J heehee. i love you! i am tired.
negative,"Morning everyone sorry for going early last night had bad news, felt totally crap   Today is a new day"
negative,"how I wish my parents put me into a Chinese school when I was younger. Then, it'll be so much easier for me to get a job..."
neutral,@nayRyelgiuQ airport? and you didnt show up tonight homo!
neutral,@avalonabsinthe what?! Come as you are!!! But erock just left  bah D:
negative,@joiskol  being in your room makes me sad.
neutral,for the gays i only made 200 tonight
negative,@CocktailChic oh f*ck! I completely forgot about Thirsty Thursday! oh. my. gaga. this sucks
negative,"if one people did any wrong, the world blames all the people over there, this is the great world which we are living in!  Shit!"
neutral,"@dravenreborn I bet its cool down in SR, huh? It's not here. I haven't stopped sweating since noon when dad and I were packing"
negative,@meljachin: eww. dislike
neutral,decided 2 trans frm relaxed 2 natural hair but i wish my whole head looked like my roots.  Age of the instant gratification....
negative,"@SuzyDunkley sorry bout the cat,"
neutral,needs to have an increase on her salary  http://plurk.com/p/wxluu
negative,missed iron chef
negative,@thevowel the DS version sucks
negative,what a bad day
negative,hates the net. ayaw bumukas ng twitter.  http://plurk.com/p/wxlxs
neutral,the week just wasnt the same without an adam lambert performance!!!
neutral,@rockingjude The link doesn't work
neutral,"GOSSIP GIRL, WHEN ARE YOU COMING BACK  ! chaceeeeeee.."
neutral,Smh @ hiphop nursery rhymes
negative,went to the cd store to search for the cd. But
negative,I miss my mom..  &quot;May angels lead you in&quot;
negative,on jacksonville beach walking in the cold Ass water   but have to work in the morning   ily &lt;('-')&gt;
neutral,"@taylor_d No, it's not..."
negative,@chocolovere i feel the same way every day
negative,Can't sleep. Sucks. The one day i have to sleep in and i have to get up and go shopping with mom. Ugh.
neutral,@crunchmonkey78 well i just got home and its not on till tmw at 530p but with comcast its on right now  but i didnt miss it
negative,Sleppytime. Really missing my godfather right now. Love you Wayne
negative,So have a headache right now and it sucks
negative,"@jwray12 Lakers, baby Lakers!! I'll miss the game tmwr. I have to work  you'll have to keep me posted please"
negative,"comfort food of the day: pan mee. though, it didnt taste any good.."
negative,misses my baby.
neutral,@mousebudden I'ma need you to follow me real quick cause I can't DM you
negative,I'm poorly and can't sleep
negative,@abguerraartist  I am not a pussy! damnit!  [sending you an e-mail right now btw]
negative,has work tom.
neutral,In the Hongkong International Airport. Has to wait for 3-4 hours for our next flight to Cebu.
neutral,Can't sleep and nothings on tv!!
neutral,@KallieT oh ... you've been superseeded?  not good enough
negative,today we say goodbye to the second good friend in a week from dmp  but at least the sun is shinning and I'm definately NOT working this pm
negative,Sometimes the things you say hurt the ones you love most unintentionally.  And you can never ever take it back or fix it.
negative,@nickkk_ that sucks!
neutral,@dorkydeanna IIII know!!! and mean
negative,Having Fever  dont feel to work
neutral,@BusyGod PGPM student from where? I myself was a PGPM student about 4 years back. I wish I could stay one
negative,missing @MeLDiBiAsE...6 days can't pass quick enough
negative,@juliaiiivir Hey! That's my school! I hate that place.
negative,"Working from home today, my back is killing me  Doctor and then physio after later today."
neutral,back to work.. with no distractions..
neutral,awwww  i never noticed this http://bit.ly/RConp
neutral,"@heavyharts that sucks  well state starts tomorrow so im headin 2 bed, nitey nite"
neutral,@mygoldmask did you guys keep a set list? I forgot to ask for one  xx
neutral,"First impression of Silverlight: sadly, based on what I saw today, it's quite problematic"
negative,Missing you all deeply
neutral,"the time you go to bed,  i have to get up to go to work"
negative,"@Ravels sniff sniff  take care ravels! Hopefully we'll be chatting again soon. In the mean time, I'll HELLA miss you."
neutral,"@miss_cheryl Lucky, now I want to teleport"
negative,I don't want her to leave..
negative,"@KaliyahPjones lmao...thats sad, kinda discourages me 4rom goin if the shit's wack"
negative,@WillyNorthpole I wish I was there
negative,"I miss my little Batty, she was only 3 months old when she got sick, she was always so fun and full of life &lt;3 Even at the very end..."
neutral,FC is finally up again. it's about time. i hate that this keeps happening
neutral,seriously bored without anyone to talk to... but not tired enough for sleep
negative,morning again! I hate mornings. So offensive!
neutral,@keytar still!! give your computer a break omg
negative,bed bed bed @samuelasanders do you never answer texts anymore?  I thought of you the other day and sent one but never heard back. Sad day
neutral,where u at?
negative,@brianshead waah. We're no longer your peeps.
negative,@angelica_yo LOL wow dawg doesn't sound like you're playing!  I feel bad now haha
neutral,@Forever_Yours13 I'm not at home with my cats right now!
neutral,Leno's last show was tonight.  I like him better than Conan.
negative,@MariusLT I'm sorry about your bad driving experiences.
neutral,@monpio i don't have any of that
negative,Already misses @CMontecillo
negative,"plan may changes , nooooooo"
negative,my sister is a douchebag
neutral,@eCheers Random has an a
negative,Gutted that the bathroom still isn't free- early work isn't going to happen  . And I need the loo!
neutral,@ddlovato july... too long
neutral,Wearing glasses gives me a headache.
negative,thank you @ddlovato (: cant wait!!!! ummm btw ima crash still sick
negative,"First my work computer, now my home laptop is fucked."
neutral,"@shanajaca But @feltbeats is on page 6 at Ms Twitterworld, only 26 votes"
neutral,sleep....good night tweeties!!! down to OC tomorrow. I hope and pray that Rachyl gets better SOON!!!
negative,@joek949 It's depressing I'm stuck inside all day
negative,i hate being sick. i miss @cynthiasheree @lucyowns and @larilync
neutral,@iceweasel im eating sliders at barjohnnys! (theyre pork tho not beef  still on the search...)
negative,"Woke Up,I Wanna Stay In My bed"
negative,Upsidedown tomato plants died!
neutral,"friday here at last, not much fun when your skint though"
negative,@ddlovato Caan't Iht Be Earlier? ICant Wait That Long.  Ahar. (:
neutral,I don't think I will be able to get out of bed tomorrow morning  we will seeeee!
neutral,the times they are a changing
negative,@prncsztalia why do you hate me!?
negative,time for tv in bed.Then spending all day catching up on studying  i hate online summer classes
neutral,@slickiris video is not available to us foreigners
negative,http://twitpic.com/663vr - Wanted to visit the animals but we were too late
negative,#jonaswebcast i just missed it!!!!
negative,Dang it! I REALLY look like crap!! Sigh only had 35mins to shower and 10mins to get ready
neutral,waiting to get picked up!
negative,So exhausted..can't sleep. I don't like these nights
negative,i'm gonna miss all the live Comet action tomorrow! i have to go take care of my cousins and they don't have access to the interwebz
negative,@NothinButSin sorry to hear that.
negative,Just found out I can't drink at this bar! Booo missing e1 at palomino's! No cheers sad face
neutral,"@Giggles_xo   dang it, so its not certain ? ? ? are you okay?"
neutral,wishes Dave Gilmour and Roger Waters would re-unite for a Pink Floyd concert
negative,finished a whole box of ice cream
neutral,In 1 horse town + 2 blown out car speakers =
neutral,Someone make me a cofffeeeeeee......
neutral,My nose is stuffy
neutral,last night in newport
neutral,Aright Twitter Fam... guess ima be outties.. gonna try n sleep off some of this horrible pain
neutral,Baby was not herself after recieving vaccines
negative,@chrisontv88 btw I am not a wimp
negative,@queenbmakeup i can't add you on myspace girly  it asks for a last name and email
negative,"back at Vienna (  ), sooo tired, luggage lost, Manchester 'd been great - very good outcome from Seminar at MBS &amp; great people around ..."
negative,I don't wanna go back to work   sleepy time.
neutral,watching The Biggest Loser on Hallmark. Never fails to make me cry  nyeh.
neutral,@zaharh that sucks!  how old are you actually?
neutral,Still confuse...
negative,http://bit.ly/3W9w1  NOOOO! he goes for Orlando! OMG  I'm gonna CRY!!!!!!!!
neutral,scratch that; sleep on a stage bound.
neutral,@officialTila I cnt get it!! its goin to ur old messages?!?  &gt;&gt;&gt;&gt; HELP?&lt;&lt;&lt;&lt;
neutral,@laurelexmachina Swimming is a no go for me
negative,"@johnpopham Morning John, yes I do, however I have a diary clash and sadly can't attend!"
negative,I miss my friend
neutral,"@duciaestherine ohh ic ic haha, iyaa my summer is filled with ONE Course that lasts for the whole summer"
negative,Yea i just saw this really sad commercial
negative,Hmmm. Using TinyTwitter on a small non-touch screen is really not much fun
neutral,@Joshuah_Pearson
neutral,@ccburns Unfortunately not
negative,Hates having to sleep alone
neutral,@emlevins
negative,I loved johnny carson now I'm going to hate seeing jay leno go
negative,even though everyone wanted to do a newish song and our teacher agreed :S old grumpy doesn't like us happy  haha
negative,@razitul ya. i was suffering the whole day yesterday. met dentist and feel a bit better. i still look like rocky balboa though
neutral,ups ketauan cabut nih gimana dong
negative,I didn't get a callback for the play I cried...  oh well I guess it's back to being a techie..
negative,@lunafactor I kinda wish I went with you now!.. I can't fall asleep
neutral,Off to bed!! Still exhausted from Vegas
neutral,Took a 4 hour nap after work today and won't be able to sleep all night    This is a bummer
neutral,Loving lil ken and absolutely dreading saying goodbye in less than a week
negative,@Dakshinamurti Not yet... sorry
neutral,HII!! Thatsï¿½meE!! I woke up and I am goinG to SchooL... Why me??
negative,FALL ASLEEP ON ME AGAIN  But I know how it feels now LOL. Drag Me To Hell tonight! Quite excited
neutral,asks for karma points please.  http://plurk.com/p/wxnt9
negative,@guitar21g @jackie_hussein i have to wake up earlier than i thought.. my dad wants me to take him food at 9AM! no0o0o0o!
negative,um... so I don't think my text msgs have a &quot;subject line&quot; ... I fail
negative,tummy ache.
neutral,L.A. said &quot;wipe the slate clean&quot; before the jelly!
neutral,@seanpercival Unless that invite comes with a beta key I'm not going to be much help...
neutral,@Johnny_Exp not where i live.
negative,"@askegg I'm sorry, Andrew. I wish there was something I could do..."
negative,as if i finsh work at eleven.. IS THAT EVEN ALLOWD?  cauz i really dont want to.. lol
negative,"@AmandaMallard i'm not at chaseton's either  please don't die, my heart will be really sad"
neutral,@sha_da_asshole ï¿½ cant im not @ my sister house no ï¿½-net tonite
neutral,"Damn, hi Facebook ? what's wrong with you ? can't add photos"
neutral,4 more followers.. follow me and I'll love you!! *pouts* Please?
neutral,"@textdrivebys i dont even have a WII! b likes xbox, so that's what we have  do you use it?"
negative,"I can't sleep, this is so darn frustrating."
neutral,@thunder_express i didnt get to see it tonight
negative,@stormyamorette just one of those days where loneliness creeps up on you slaps you in the face.
negative,RIP kelly  fucccccck
neutral,2nd to last episode of jay leno  itll never be the same!  nite twitter
negative,Not feeling too good
negative,Ok. Time to nodd off its gonna be a long day tomorrow. Saying goodbye to my car for good
neutral,Fakin' kisha...just my luck!
negative,i miss oklahomaaaaa  listening to citizen cope til i pass out.
neutral,so tense..so emotional...so not me..
neutral,playing the game of watching straight people hook up but can't leave because of another reason
neutral,@daveg38 yeah work today  never mind only one day then sun sun sun....
negative,its funny. i'm kinda sad on my last day
neutral,@heresmyhello92 I don't think it was either. But I can't remember it.
neutral,anyone got JBs live chat vid? i was @ school  I saw joe hug and tackle nick lol
negative,Jenny fell asleep and didn't come over
negative,Wishes you had teased me with movie night
negative,@johneast I've missed one this year(!). It's the forbidden fruit. Of all the trees in the garden I munch in disappointment on that one.
negative,@IvanaE i love it to.. but i knw there gna cut stuff out on tv
neutral,@soonseeofpred becuz you braggin
negative,@JoannaAngel I do  But Im on a strict diet. . . ugh I feel like if i cheat for one day Ill throw everything up.
neutral,@lawikyn ze Franz has not friended me  i think they think i'm a creepy stalker or sommat. Hmph.
negative,"Taking back the HORRIBLE shoes my mum made me get.. urgggh. They are some nasty footwear! Problem is, I can't find any other shoes!"
neutral,And then you find out today they had there first kiss! }
negative,"So Cal Dachshund Rescue found a home for my foster pup, Max. I'm soooooo sad to see him leave"
negative,wow I feel like ish  and I really feel bad because those ignorent aholes wont overturn prop 8
negative,"off to work now, finish about 9pm  booooo."
negative,Wishes you hadn't teased me with movie night
neutral,"dont know why so tired today  bye, time for beddy"
negative,"maybe i should take up drinking again, feel as if i have a ,massive hangover  still not ,yself today"
negative,night 5 not talking to my victor  i'm so bored at night now. grrrr i hate this shit
neutral,"@syafique ooh maggi goreng. yums. i cant eat, sore throat cmin"
negative,"gonna get off to try and catch some Z's, no more high school after tomorrow! which really sucks  i wish i didn't have to grow up!"
neutral,@curligirl morning hon. what you having for breakfast? I cant decide
negative,should be sleeping.  lost my voice a couple day ago.
neutral,did I mention my BF bubbled the WSOP employees event after 12 hrs with AA  Working doubles  now for the next 6 weeks
negative,I was too sleepy earlier and i didnt get to see matt
negative,I just realized I spelled &quot;adorable&quot; wrong when I tweeted @mindykaling she must hate me now
neutral,@DellOutletUK But now it's gone
negative,how to have a glowing face? my complexion is always so pale
negative,"Downloadfestival's lineup isn't as good as i thought it was. There are some other awesome bands doing the festivals, but missing DL"
negative,Sooo.....I'm kinda o sick n tired of the bs that guys dish out  !!!!!!!!
